Dentist_ID,FULL_NAME,DOB,GENDER,CLINIC,EMAIL
DEN001,Xander Parsons,4/29/1991,F,"227 Nguyen Van Cu, District 5",xander134@parsons.com
DEN002,Elliot Archer,3/13/1989,M,"227 Nguyen Van Cu, District 5",kwalhedd51@gravatar.com
DEN003,Dewi Knight,6/18/1964,F,"227 Nguyen Van Cu, District 5",dwudelandod@army.mil
DEN004,Christina Riddle,11/8/1984,M,"227 Nguyen Van Cu, District 5",pkilshawf8@g.co
DEN005,Cerys Harvey,2/19/1966,F,"227 Nguyen Van Cu, District 5",mbremingcx@reuters.com
DEN006,Wanda Bates,7/25/1962,M,"227 Nguyen Van Cu, District 5",sheffera5@cargocollective.com
DEN007,Gladys Mclean,10/4/1984,F,"227 Nguyen Van Cu, District 5",agaitone9z@naver.com
DEN008,Hugh Watson,4/26/1982,M,"227 Nguyen Van Cu, District 5",glampardga@wikipedia.org
DEN009,Maisey Simmons,10/23/1998,F,"227 Nguyen Van Cu, District 5",astreatln@51.la
DEN010,Luna Maldonado,8/29/1978,M,"227 Nguyen Van Cu, District 5",bharce4e@columbia.edu
DEN011,Jayden Cunningham,11/30/1979,F,"227 Nguyen Van Cu, District 5",rsebertml@dot.gov
DEN012,Virgil Roth,8/6/1973,M,"227 Nguyen Van Cu, District 5",erawlcliffecz@seesaa.net
DEN013,Mahnoor Bishop,12/27/1990,F,"134 Su Van Hanh, District 10",cpollack9r@ustream.tv
DEN014,Zack Connolly,10/10/1983,M,"134 Su Van Hanh, District 10",ksnook59@webs.com
DEN015,Eesa Green,4/11/1977,F,"134 Su Van Hanh, District 10",vpinerfn@flickr.com
DEN016,Harmony Dejesus,5/17/1984,M,"134 Su Van Hanh, District 10",fharriday9q@google.ca
DEN017,Aqsa Howe,1/21/1962,M,"134 Su Van Hanh, District 10",cdundredgerb@army.mil
DEN018,Kelsie Frazier,8/21/1969,F,"134 Su Van Hanh, District 10",loboy91@mozilla.com
DEN019,Tomos Kaufman,12/16/1976,F,"134 Su Van Hanh, District 10",mhannajz@multiply.com
DEN020,Rafferty Hardin,8/6/1981,M,"134 Su Van Hanh, District 10",hlashmorea2@domainmarket.com
DEN021,Osian Copeland,7/3/1996,F,"134 Su Van Hanh, District 10",dhuchot5r@multiply.com
DEN022,Daisie Finch,9/1/1965,M,"134 Su Van Hanh, District 10",cjzhakovov@myspace.com
DEN023,Brenda Mahoney,12/28/1992,F,"134 Su Van Hanh, District 10",jforbesbk@jigsy.com
DEN024,Gail White,9/26/1988,M,"134 Su Van Hanh, District 10",lpettittmi@clickbank.net
DEN025,Sulayman Dickson,6/18/1964,F,"52 Pasteur, District 1",bdenyukhind0@cnet.com
DEN026,Sasha Estrada,4/19/1982,M,"52 Pasteur, District 1",alougheidfe@usgs.gov
DEN027,May Pruitt,12/14/1995,M,"52 Pasteur, District 1",lcastelyn4q@list-manage.com
DEN028,Marcel Lester,11/13/1995,F,"52 Pasteur, District 1",fschultzei8@miitbeian.gov.cn
DEN029,Frederic Singh,2/7/1976,F,"52 Pasteur, District 1",emilligank9@soup.io
DEN030,Amy Blackburn,5/21/1969,M,"52 Pasteur, District 1",eiblekn@toplist.cz
DEN031,Lucinda Mccormick,12/16/1987,F,"52 Pasteur, District 1",lwithuraf@networksolutions.com
DEN032,Malachi Powell,4/26/1965,M,"52 Pasteur, District 1",bbalmeroe@ucsd.edu
DEN033,Kaya Stuart,7/2/1961,F,"52 Pasteur, District 1",gkleyn53@loc.gov
DEN034,Sid Cruz,5/28/1961,M,"52 Pasteur, District 1",hgimbernp@unc.edu
DEN035,Abigail Rice,4/8/1990,F,"52 Pasteur, District 1",cdundredgerb@army.mil
DEN036,Beatrice Lewis,10/4/1965,F,"52 Pasteur, District 1",tjohanssenjw@quantcast.com
DEN037,Hafsa Jensen,4/17/1991,M,"9 Dien Bien Phu, District 3",jpavlenkovd2@deviantart.com
DEN038,Yasmine Washington,6/25/1994,M,"9 Dien Bien Phu, District 3",jdimaggioh0@instagram.com
DEN039,Anton Lawson,12/30/1960,F,"9 Dien Bien Phu, District 3",gsprowsonoz@de.vu
DEN040,James Mullen,7/24/1985,F,"9 Dien Bien Phu, District 3",hjurgengz@friendfeed.com
DEN041,Susie Bradford,2/19/1966,M,"9 Dien Bien Phu, District 3",epilipetshz@biglobe.ne.jp
DEN042,Emilia Powers,11/22/1983,M,"9 Dien Bien Phu, District 3",sstaner46@prweb.com
DEN043,Alisa Shelton,7/15/1997,M,"9 Dien Bien Phu, District 3",rphythond3@aboutads.info
DEN044,Jemima Connor,10/5/1965,F,"9 Dien Bien Phu, District 3",scailloui7@homestead.com
DEN045,Stephanie Pace,7/28/1979,M,"9 Dien Bien Phu, District 3",icousansp5@vimeo.com
DEN046,Kamran O'Sullivan,2/21/1974,F,"9 Dien Bien Phu, District 3",sgroucocka1@hatena.ne.jp
DEN047,Zoya Mitchell,9/30/1975,M,"9 Dien Bien Phu, District 3",raizikovitzo4@barnesandnoble.com
DEN048,Asa Frederick,7/9/1988,F,"9 Dien Bien Phu, District 3",swhortong5@php.net
DEN049,Zak Haines,7/14/1986,M,"34 Nguyen Thi Thap, District 7",gjeandonis@spotify.com
DEN050,Szymon Matthews,9/13/1968,F,"34 Nguyen Thi Thap, District 7",sheekslq@vinaora.com
DEN051,Marc Murphy,4/3/1995,M,"34 Nguyen Thi Thap, District 7",boconnolly47@com.com
